1 79
2 100
3 146
4 239
5 351
6 837
7 1452
8 1806
9 1737
10 1755
11 1804
12 1870
13 1711
14 1068
15 468
16 330
17 324
18 343
19 259
20 214
21 130
22 63
23 77
24 54
