Testing Kafka

7373107 records sent, 1474621.4 records/sec (14.06 MB/sec), 3.6 ms avg latency, 223.0 max latency.
7544486 records sent, 1508897.2 records/sec (14.39 MB/sec), 2.4 ms avg latency, 178.0 max latency.
8499954 records sent, 1699990.8 records/sec (16.21 MB/sec), 0.9 ms avg latency, 8.0 max latency.
8518489 records sent, 1703697.8 records/sec (16.25 MB/sec), 2.0 ms avg latency, 164.0 max latency.
8773433 records sent, 1754686.6 records/sec (16.73 MB/sec), 0.8 ms avg latency, 6.0 max latency.
8852417 records sent, 1770483.4 records/sec (16.88 MB/sec), 0.8 ms avg latency, 7.0 max latency.
7280655 records sent, 1414818.3 records/sec (13.49 MB/sec), 4.3 ms avg latency, 243.0 max latency.
8504030 records sent, 1700806.0 records/sec (16.22 MB/sec), 2.4 ms avg latency, 199.0 max latency.
7643794 records sent, 1528758.8 records/sec (14.58 MB/sec), 1.2 ms avg latency, 19.0 max latency.
8166214 records sent, 1633242.8 records/sec (15.58 MB/sec), 1.0 ms avg latency, 11.0 max latency.
8266364 records sent, 1653272.8 records/sec (15.77 MB/sec), 1.6 ms avg latency, 128.0 max latency.
8141682 records sent, 1628336.4 records/sec (15.53 MB/sec), 1.9 ms avg latency, 155.0 max latency.
8054737 records sent, 1610947.4 records/sec (15.36 MB/sec), 2.1 ms avg latency, 147.0 max latency.
8021068 records sent, 1604213.6 records/sec (15.30 MB/sec), 1.3 ms avg latency, 63.0 max latency.
8475583 records sent, 1695116.6 records/sec (16.17 MB/sec), 0.9 ms avg latency, 7.0 max latency.
8392794 records sent, 1678558.8 records/sec (16.01 MB/sec), 0.9 ms avg latency, 6.0 max latency.
8354723 records sent, 1670944.6 records/sec (15.94 MB/sec), 2.1 ms avg latency, 176.0 max latency.
8623369 records sent, 1724673.8 records/sec (16.45 MB/sec), 0.9 ms avg latency, 7.0 max latency.
8525761 records sent, 1705152.2 records/sec (16.26 MB/sec), 1.9 ms avg latency, 155.0 max latency.
8429075 records sent, 1685815.0 records/sec (16.08 MB/sec), 1.0 ms avg latency, 42.0 max latency.
7823593 records sent, 1564718.6 records/sec (14.92 MB/sec), 1.1 ms avg latency, 10.0 max latency.
