Testing Kafka

50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50020 records sent, 10004.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50010 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 7.0 max latency.
49990 records sent, 9998.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 16.0 max latency.
50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 3.0 max latency.
50010 records sent, 10002.0 records/sec (0.10 MB/sec), 0.9 ms avg latency, 31.0 max latency.
50020 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 15.0 max latency.
50030 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50040 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 16.0 max latency.
50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50020 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50030 records sent, 10004.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50000 records sent, 9996.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 19.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50050 records sent, 10004.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 10.0 max latency.
50029 records sent, 9999.8 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50011 records sent, 10000.2 records/sec (0.10 MB/sec), 0.8 ms avg latency, 8.0 max latency.
50020 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50002 records sent, 10000.4 records/sec (0.10 MB/sec), 0.8 ms avg latency, 19.0 max latency.
50008 records sent, 10001.6 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 6.0 max latency.
50020 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
